frame_number,timestamp_seconds,timestamp_minutes,timestamp_formatted,num_bees,video_name,period,week,day,site,full_id,max_confidence,avg_confidence,min_confidence
55738,929.8956333333333,15.498260555555555,15:29,0,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.0,0.0,0.0
57536,959.8922666666667,15.998204444444445,15:59,3,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.6273473501205444,0.5034824013710022,0.35744595527648926
59334,989.8889,16.498148333333333,16:29,1,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.5352993607521057,0.5352993607521057,0.5352993607521057
61132,1019.8855333333333,16.998092222222223,16:59,1,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.7726135849952698,0.7726135849952698,0.7726135849952698
62930,1049.8821666666668,17.498036111111112,17:29,2,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.6018139123916626,0.42619726061820984,0.2505806088447571
64728,1079.8788,17.99798,17:59,0,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.0,0.0,0.0
66526,1109.8754333333334,18.497923888888888,18:29,3,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.49361756443977356,0.3691023588180542,0.2562045156955719
68324,1139.8720666666668,18.99786777777778,18:59,0,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.0,0.0,0.0
70122,1169.8687,19.497811666666667,19:29,0,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.0,0.0,0.0
71920,1199.8653333333334,19.997755555555557,19:59,1,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.3371860682964325,0.3371860682964325,0.3371860682964325
73718,1229.8619666666666,20.497699444444443,20:29,2,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.6321712732315063,0.45462170243263245,0.27707213163375854
75516,1259.8586,20.997643333333333,20:59,1,P1000409.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.2662052512168884,0.2662052512168884,0.2662052512168884
0,0.0,0.0,00:00,2,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.5739476680755615,0.41534286737442017,0.2567380666732788
1798,29.996633333333335,0.4999438888888889,00:29,2,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.47781848907470703,0.3915257453918457,0.305232971906662
3596,59.99326666666667,0.9998877777777778,00:59,0,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.0,0.0,0.0
5394,89.9899,1.4998316666666667,01:29,2,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.6289982199668884,0.5943295955657959,0.5596609711647034
7192,119.98653333333334,1.9997755555555556,01:59,2,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.6331074833869934,0.5841559171676636,0.5352043509483337
8990,149.98316666666668,2.4997194444444446,02:29,4,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.5932233929634094,0.4286586046218872,0.30577757954597473
10788,179.9798,2.9996633333333333,02:59,2,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.42934077978134155,0.35811299085617065,0.28688523173332214
12586,209.97643333333335,3.4996072222222225,03:29,1,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.3718474805355072,0.3718474805355072,0.3718474805355072
14384,239.97306666666668,3.9995511111111113,03:59,3,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.7545255422592163,0.48243415355682373,0.3120041787624359
16182,269.9697,4.499495,04:29,3,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.6241146922111511,0.3971741199493408,0.25674837827682495
17980,299.96633333333335,4.999438888888889,04:59,2,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.44981080293655396,0.40063297748565674,0.3514551818370819
19778,329.96296666666666,5.499382777777778,05:29,1,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.3536064922809601,0.3536064922809601,0.3536064922809601
21576,359.9596,5.999326666666667,05:59,0,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.0,0.0,0.0
23374,389.95623333333333,6.499270555555555,06:29,1,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.6842098236083984,0.6842098236083984,0.6842098236083984
25172,419.9528666666667,6.999214444444445,06:59,2,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.5413097739219666,0.44920629262924194,0.35710278153419495
26970,449.9495,7.499158333333333,07:29,1,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.35899877548217773,0.35899877548217773,0.35899877548217773
28768,479.94613333333336,7.999102222222223,07:59,1,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.5632673501968384,0.5632673501968384,0.5632673501968384
30566,509.94276666666667,8.499046111111111,08:29,2,P1000410.MP4,morning,week 5,day 1,site 1,week 5_day 1_site 1_morning,0.3502339720726013,0.30801326036453247,0.2657925486564636
0,0.0,0.0,00:00,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.4822583496570587,0.4822583496570587,0.4822583496570587
1798,29.996633333333335,0.4999438888888889,00:29,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5309846997261047,0.5309846997261047,0.5309846997261047
3596,59.99326666666667,0.9998877777777778,00:59,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.6370865702629089,0.5051310658454895,0.3731755316257477
5394,89.9899,1.4998316666666667,01:29,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.46158790588378906,0.3601132035255432,0.258638471364975
7192,119.98653333333334,1.9997755555555556,01:59,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.37578925490379333,0.35367444157600403,0.3315596282482147
8990,149.98316666666668,2.4997194444444446,02:29,3,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5578189492225647,0.42183029651641846,0.3305009603500366
10788,179.9798,2.9996633333333333,02:59,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.4495692551136017,0.4495692551136017,0.4495692551136017
12586,209.97643333333335,3.4996072222222225,03:29,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.46491363644599915,0.46491363644599915,0.46491363644599915
14384,239.97306666666668,3.9995511111111113,03:59,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.41521143913269043,0.34873104095458984,0.28225067257881165
16182,269.9697,4.499495,04:29,0,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.0,0.0,0.0
17980,299.96633333333335,4.999438888888889,04:59,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5883157253265381,0.4325006604194641,0.27668556571006775
19778,329.96296666666666,5.499382777777778,05:29,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.41517263650894165,0.41517263650894165,0.41517263650894165
21576,359.9596,5.999326666666667,05:59,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.6078808307647705,0.6078808307647705,0.6078808307647705
23374,389.95623333333333,6.499270555555555,06:29,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5333425998687744,0.5333425998687744,0.5333425998687744
25172,419.9528666666667,6.999214444444445,06:59,3,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.39833739399909973,0.34953245520591736,0.2580499053001404
26970,449.9495,7.499158333333333,07:29,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.45794713497161865,0.45794713497161865,0.45794713497161865
28768,479.94613333333336,7.999102222222223,07:59,4,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.6094411611557007,0.41360777616500854,0.28381627798080444
30566,509.94276666666667,8.499046111111111,08:29,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.6551020741462708,0.5114656090736389,0.3678291440010071
32364,539.9394,8.99899,08:59,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5591875314712524,0.5176071524620056,0.4760268032550812
34162,569.9360333333334,9.49893388888889,09:29,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.6127106547355652,0.4729674756526947,0.3332242965698242
35960,599.9326666666667,9.998877777777778,09:59,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5427982211112976,0.5427982211112976,0.5427982211112976
37758,629.9293,10.498821666666666,10:29,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.3478342890739441,0.3478342890739441,0.3478342890739441
39556,659.9259333333333,10.998765555555556,10:59,6,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.625441312789917,0.3783205449581146,0.26255643367767334
41354,689.9225666666666,11.498709444444444,11:29,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5892024040222168,0.5892024040222168,0.5892024040222168
43152,719.9192,11.998653333333333,11:59,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5415781736373901,0.5203560590744019,0.4991339445114136
44950,749.9158333333334,12.498597222222223,12:29,3,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5407944917678833,0.4356667995452881,0.26974600553512573
46748,779.9124666666667,12.99854111111111,12:59,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.587436318397522,0.4992440938949585,0.4110518991947174
48546,809.9091,13.498484999999999,13:29,3,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.37340933084487915,0.2979736328125,0.2595900297164917
50344,839.9057333333334,13.99842888888889,13:59,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.30574163794517517,0.30574163794517517,0.30574163794517517
52142,869.9023666666667,14.498372777777778,14:29,0,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.0,0.0,0.0
53940,899.899,14.998316666666666,14:59,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.4974293112754822,0.4974293112754822,0.4974293112754822
55738,929.8956333333333,15.498260555555555,15:29,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.2995849549770355,0.2922592759132385,0.28493359684944153
57536,959.8922666666667,15.998204444444445,15:59,4,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5092707872390747,0.37501782178878784,0.3227967321872711
59334,989.8889,16.498148333333333,16:29,4,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.3340443968772888,0.2947803735733032,0.26335659623146057
61132,1019.8855333333333,16.998092222222223,16:59,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.4011978805065155,0.4011978805065155,0.4011978805065155
62930,1049.8821666666668,17.498036111111112,17:29,3,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.48464053869247437,0.3964459002017975,0.333537757396698
64728,1079.8788,17.99798,17:59,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.3515399396419525,0.3226125240325928,0.29368510842323303
66526,1109.8754333333334,18.497923888888888,18:29,4,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5302370190620422,0.33456623554229736,0.2526176869869232
68324,1139.8720666666668,18.99786777777778,18:59,4,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5758227109909058,0.37505635619163513,0.29800641536712646
70122,1169.8687,19.497811666666667,19:29,3,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.36449649930000305,0.32700851559638977,0.27735769748687744
71920,1199.8653333333334,19.997755555555557,19:59,4,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.45897820591926575,0.35929280519485474,0.267179936170578
73718,1229.8619666666666,20.497699444444443,20:29,2,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5572037100791931,0.42540159821510315,0.2935994863510132
75516,1259.8586,20.997643333333333,20:59,1,P1000411.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.47268253564834595,0.47268253564834595,0.47268253564834595
0,0.0,0.0,00:00,1,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.2611928880214691,0.2611928880214691,0.2611928880214691
1798,29.996633333333335,0.4999438888888889,00:29,2,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.3775072693824768,0.3258218765258789,0.2741365134716034
3596,59.99326666666667,0.9998877777777778,00:59,3,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.4851146936416626,0.358396977186203,0.2670682668685913
5394,89.9899,1.4998316666666667,01:29,2,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.2589254081249237,0.2586342692375183,0.2583431601524353
