epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4725.93,2.63836,2.01961,0.91649,0.73285,0.42254,0.43328,0.12755,2.83347,1.89354,0.9084,0.001496,0.001496,0.001496
44,4853.44,2.54651,1.84841,0.89796,0.60716,0.42254,0.43592,0.14228,2.68123,2.04475,0.90182,0.001484,0.001484,0.001484
45,4930.05,2.44613,2.0882,0.91305,0.5945,0.5493,0.481,0.13007,2.83431,1.9115,0.91048,0.001472,0.001472,0.001472
46,5006.53,2.55567,2.12956,0.8759,0.60306,0.50704,0.47879,0.1541,2.71302,1.74619,0.89952,0.00146,0.00146,0.00146
47,5137.3,2.61181,2.15242,0.94165,0.47165,0.4778,0.36921,0.10178,2.75148,2.06664,0.90171,0.001448,0.001448,0.001448
48,5301.82,2.49229,2.08628,0.93855,0.54477,0.42254,0.44083,0.12435,2.48985,2.22174,0.88978,0.001436,0.001436,0.001436
49,5469.94,2.59968,2.10051,0.93603,0.64626,0.38028,0.43149,0.14775,2.56229,1.95134,0.89137,0.001424,0.001424,0.001424
50,5600.93,2.55891,1.88093,0.91416,0.66641,0.50647,0.48306,0.16652,2.47526,1.74157,0.88568,0.001412,0.001412,0.001412
51,5677.56,2.4032,1.89701,0.94035,0.70961,0.39437,0.43248,0.10677,2.75082,1.78106,0.89327,0.0014,0.0014,0.0014
52,5775.07,2.46737,2.02261,0.88089,0.69148,0.4507,0.45936,0.14567,2.5879,1.67765,0.88333,0.001388,0.001388,0.001388
53,5857.69,2.43857,2.04255,0.9433,0.76087,0.46479,0.54836,0.16358,2.49117,1.7625,0.88046,0.001376,0.001376,0.001376
54,5937.39,2.4683,1.84578,0.85557,0.52681,0.43909,0.41355,0.09409,2.75414,2.02927,0.89046,0.001364,0.001364,0.001364
55,6012.97,2.56737,1.819,0.86496,0.58527,0.38028,0.36758,0.10071,2.59341,2.02324,0.88699,0.001352,0.001352,0.001352
56,6088.21,2.3438,1.91177,0.88048,0.78444,0.46479,0.49654,0.14125,2.47931,2.16939,0.87758,0.00134,0.00134,0.00134
57,6164.95,2.61029,1.87738,0.97391,0.7002,0.42254,0.41314,0.12829,2.66824,1.89572,0.88836,0.001328,0.001328,0.001328
58,6240.76,2.30516,1.89262,0.89968,0.51586,0.3662,0.30905,0.07052,3.10137,1.922,0.9121,0.001316,0.001316,0.001316
59,6313.49,2.28401,1.90166,0.92244,0.42327,0.32394,0.27366,0.0688,3.05775,2.03368,0.90742,0.001304,0.001304,0.001304
60,6388.01,2.31102,1.77668,0.87159,0.73478,0.43662,0.50076,0.12975,2.63633,1.75763,0.88019,0.001292,0.001292,0.001292
61,6463.22,2.34163,1.77168,0.95997,0.74209,0.5269,0.5735,0.18255,2.41063,1.65752,0.87226,0.00128,0.00128,0.00128
