video_file,full_path,week,site,shift,analysis_success,timestamp
P1000401.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_2/mid/P1000401.MP4,week_5,site_2,mid,True,2025-07-16T14:22:56.288988
P1000398.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_2/morning/P1000398.MP4,week_5,site_2,morning,True,2025-07-16T14:23:02.301334
P1000399.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_2/morning/P1000399.MP4,week_5,site_2,morning,True,2025-07-16T14:23:08.538859
P1000439.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_3/afternoon/P1000439.MP4,week_5,site_3,afternoon,True,2025-07-16T14:23:14.697619
P1000440.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_3/afternoon/P1000440.MP4,week_5,site_3,afternoon,True,2025-07-16T14:23:20.753369
P1000434.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_3/mid/P1000434.MP4,week_5,site_3,mid,True,2025-07-16T14:23:27.548194
P1000435.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_3/mid/P1000435.MP4,week_5,site_3,mid,True,2025-07-16T14:23:33.541636
P1000433.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_3/morning/P1000433.MP4,week_5,site_3,morning,True,2025-07-16T14:23:39.658446
P1000432.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_3/morning/P1000432.MP4,week_5,site_3,morning,True,2025-07-16T14:23:45.514944
P1000407.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_4/afternoon/P1000407.MP4,week_5,site_4,afternoon,True,2025-07-16T14:23:51.578216
P1000408.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_4/afternoon/P1000408.MP4,week_5,site_4,afternoon,True,2025-07-16T14:23:57.694459
P1000402.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_4/mid/P1000402.MP4,week_5,site_4,mid,True,2025-07-16T14:24:03.775358
P1000403.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_4/mid/P1000403.MP4,week_5,site_4,mid,True,2025-07-16T14:24:09.717476
P1000396.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_4/morning/P1000396.MP4,week_5,site_4,morning,True,2025-07-16T14:24:15.635561
P1000397.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_5/day_1/site_4/morning/P1000397.MP4,week_5,site_4,morning,True,2025-07-16T14:24:21.631008
P1000409.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 1/morning/P1000409.MP4,unknown,unknown,morning,True,2025-07-16T14:24:28.562772
P1000410.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 1/morning/P1000410.MP4,unknown,unknown,morning,True,2025-07-16T14:24:35.094640
P1000411.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 1/mid/P1000411.MP4,unknown,unknown,mid,True,2025-07-16T14:24:41.547101
P1000412.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 1/mid/P1000412.MP4,unknown,unknown,mid,True,2025-07-16T14:24:47.861476
P1000445.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 1/afternoon/P1000445.MP4,unknown,unknown,afternoon,True,2025-07-16T14:24:54.184696
P1000446.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 1/afternoon/P1000446.MP4,unknown,unknown,afternoon,True,2025-07-16T14:25:00.254032
P1000414.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 2/afternoon/P1000414.MP4,unknown,unknown,afternoon,True,2025-07-16T14:25:06.401886
P1000415.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 2/afternoon/P1000415.MP4,unknown,unknown,afternoon,True,2025-07-16T14:25:12.359744
P1000443.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 2/mid/P1000443.MP4,unknown,unknown,mid,True,2025-07-16T14:25:18.441658
P1000444.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 2/mid/P1000444.MP4,unknown,unknown,mid,True,2025-07-16T14:25:24.585833
P1000441.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 2/morning/P1000441.MP4,unknown,unknown,morning,True,2025-07-16T14:25:31.000662
P1000442.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/ventura_milkvetch/week 5/day 1/site 2/morning/P1000442.MP4,unknown,unknown,morning,True,2025-07-16T14:25:37.096374
