epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,500.249,2.54907,8.09599,0.96404,1,0.48438,0.58837,0.28084,2.1206,4.05225,0.91384,0.0011486,0.0011486,0.0011486
45,511.537,2.32416,4.11597,0.92779,0.82817,0.5,0.58817,0.27004,2.18421,3.99476,0.9431,0.0011288,0.0011288,0.0011288
46,522.86,2.46771,4.30314,0.90549,1,0.48675,0.57656,0.23876,2.52588,4.0033,1.01297,0.001109,0.001109,0.001109
47,534.114,2.06299,4.52346,0.88019,1,0.48675,0.57656,0.23876,2.52588,4.0033,1.01297,0.0010892,0.0010892,0.0010892
48,545.27,2.29214,4.17478,0.9602,1,0.47619,0.56754,0.22473,2.59242,4.40931,1.04293,0.0010694,0.0010694,0.0010694
49,556.471,2.19146,3.66777,0.91083,1,0.47465,0.53596,0.21168,2.79605,4.71256,1.07679,0.0010496,0.0010496,0.0010496
50,567.612,2.09111,3.87149,0.9684,1,0.48371,0.53872,0.19152,2.95402,4.84064,1.09928,0.0010298,0.0010298,0.0010298
51,578.911,2.32209,4.86077,0.91041,1,0.48371,0.53872,0.19152,2.95402,4.84064,1.09928,0.00101,0.00101,0.00101
52,589.994,2.09058,6.07756,0.92956,0.81008,0.375,0.51782,0.19782,2.88384,4.53054,1.08987,0.0009902,0.0009902,0.0009902
53,601.219,1.98741,3.01661,0.91359,0.92311,0.375,0.50183,0.19586,2.86827,4.39632,1.04652,0.0009704,0.0009704,0.0009704
54,612.255,2.22673,4.59105,0.91633,0.60052,0.625,0.53165,0.22389,2.64843,4.10364,1.01419,0.0009506,0.0009506,0.0009506
55,623.702,1.95404,3.88576,1.04182,0.60052,0.625,0.53165,0.22389,2.64843,4.10364,1.01419,0.0009308,0.0009308,0.0009308
56,635.042,2.32344,3.56371,0.9204,0.60302,0.625,0.55264,0.24503,2.5077,3.63802,0.98245,0.000911,0.000911,0.000911
57,646.328,1.61647,7.17161,0.76658,0.65539,0.5,0.54404,0.24267,2.48887,3.78478,0.97277,0.0008912,0.0008912,0.0008912
58,657.354,2.07853,3.39315,1.00358,0.78902,0.5,0.54409,0.27113,2.48791,3.67555,0.98327,0.0008714,0.0008714,0.0008714
